lon,lat,temp,ws,wd,chiten
139.75,35.6917,35.9,3.8,202.5,Tokyo
139.3617,34.7483,29.6,4.6,202.5,Ohshima
139.6517,35.4383,35.4,5,180,Yokohama
139.865,34.9867,31.1,2.6,202.5,Tateyama
140.3117,35.15,31.6,2.4,202.5,Katsuura
140.1033,35.6017,34.3,4.9,270,Chiba
140.8567,35.7383,33.6,5.7,180,Choshi
140.125,36.0567,37.1,1.5,270,Tateno
140.4667,36.38,34.5,2.2,112.5,Mito
139.8683,36.5483,35.6,3.8,45,Utsunomiya
139.5,36.7383,27.1,4.8,247.5,Oku-Nikko
139.06,36.405,36.6,4.6,360,Maebashi
139.38,36.15,39.9,5,360,Kumagaya
139.0733,35.9933,37.7,5,360,Chichibu
138.8417,34.6033,30,3.3,247.5,Irouzaki
139.0917,35.045,33.4,4,157.5,Ajiro
138.925,35.1133,33.8,4.3,270,Mishima
138.4033,34.975,31.8,4,180,Shizuoka
138.7267,35.36,9.5,-99.9,-999.9,Fujisan
138.76,35.5,32.1,2.6,135,Kawaguchiko
138.5533,35.6667,37.1,1.5,45,Kofu
138.5467,36.3417,31.1,1.3,360,Karuizawa
140.215,37.1317,30.6,4.4,337.5,Shirakawa
140.9033,36.9467,30.6,4.4,202.5,Onahama
